config_id,outer_target_gene,model_name,C,gamma,n_estimators,max_depth,min_samples_leaf,n_inner_validation_genes,threshold,inner_tuned_accuracy,inner_tuned_balanced_accuracy,inner_tuned_roc_auc,inner_tuned_gof_f1,inner_default_accuracy_mean,inner_default_balanced_accuracy_mean,inner_default_roc_auc_mean,inner_default_gof_f1_mean
20,SCN3A,random_forest,0.0,none,300,2,5,6,0.5650401599241214,0.7210031347962382,0.676823458073458,0.7217169092169093,0.5700483091787439,0.6789707099941401,0.7214205767777196,0.7854893453107739,0.6499169130681953
21,SCN3A,random_forest,0.0,none,300,2,10,6,0.561156427936444,0.7178683385579937,0.6765202702702703,0.7309857934857935,0.5714285714285714,0.6901955194334217,0.7301903453689166,0.7884440955869528,0.6575454980842913
25,SCN3A,random_forest,0.0,none,300,3,10,6,0.5649038830392185,0.7147335423197492,0.6741164241164241,0.7318520443520444,0.5687203791469194,0.6841817625158066,0.7131326675969533,0.778545991045991,0.6356037173198361
29,SCN3A,random_forest,0.0,none,300,5,10,6,0.4624287125143349,0.6269592476489029,0.6677278239778239,0.7145703395703397,0.5993265993265994,0.6660121811599372,0.6907821675678818,0.7510552939124367,0.6015788270183766
33,SCN3A,random_forest,0.0,none,300,,10,6,0.5163594608462881,0.664576802507837,0.6650641025641025,0.7077702702702702,0.5803921568627451,0.6643415118480442,0.6897937380080238,0.7448085644514215,0.6010886361040552
10,SCN3A,rbf_svm,0.1,0.01,0,none,0,6,0.3611933152635978,0.6896551724137931,0.6632882882882882,0.6730336105336104,0.5638766519823789,0.6683925235404838,0.7050333594976452,0.7584292691435547,0.6335024720270622
22,SCN3A,random_forest,0.0,none,300,3,1,6,0.5727295246674845,0.7053291536050157,0.6585022522522522,0.7146136521136521,0.5436893203883495,0.6653606636353122,0.6969471335542764,0.76843820861678,0.6109596614756443
24,SCN3A,random_forest,0.0,none,300,3,5,6,0.5629694732654751,0.6959247648902821,0.6554920304920304,0.7170391545391547,0.5446009389671361,0.6768502869319426,0.7084496191639049,0.7768231437874294,0.6272575377838536
12,SCN3A,rbf_svm,1.0,scale,0,none,0,6,-0.04955151122310833,0.6332288401253918,0.6536295911295911,0.6749393624393625,0.5776173285198556,0.6831211514793253,0.7076443397871969,0.7600917931275074,0.6345014067918603
28,SCN3A,random_forest,0.0,none,300,5,5,6,0.4783946827799094,0.6238244514106583,0.6527200277200278,0.7020963270963272,0.5804195804195804,0.6583962433901235,0.6761621315192743,0.7526858392929822,0.5932628944645665
23,SCN3A,random_forest,0.0,none,300,3,3,6,0.5094787646467187,0.6426332288401254,0.6524384961884961,0.7114518364518365,0.5714285714285714,0.6691658607024343,0.699519957555672,0.7668192918192918,0.6108019808268343
9,SCN3A,rbf_svm,0.1,scale,0,none,0,6,0.3697693426830052,0.6802507836990596,0.6497747747747749,0.6572245322245321,0.5446428571428571,0.6770417177905971,0.710571472178615,0.7602869352869353,0.6402116402116401
