feature_set,pca_dim,model_name,C,gamma,n_inner_genes,mean_accuracy,mean_balanced_accuracy,mean_roc_auc,mean_gof_f1,mean_average_precision,outer_target_gene
mutant_site,128,rbf_svm,1.0,scale,6,0.6920128372567559,0.684241452991453,0.7904587476016047,0.736508989095196,0.8426077906067652,SCN5A
wt_mut_site,32,linear_svm,1.0,none,6,0.6657232858730082,0.6834852316995175,0.6859414064771207,0.6897802914959777,0.7801457619936101,SCN5A
mutant_site,64,linear_svm,0.01,none,6,0.6563908853206843,0.6833674922960636,0.7196188731903018,0.6730859010270774,0.7738133272322232,SCN5A
wt_mut_site,32,logistic_regression,0.01,none,6,0.6817127682162717,0.6831828885400314,0.7002398395255538,0.6944926400295758,0.7699402145902247,SCN5A
wt_mut_site,128,linear_svm,1.0,none,6,0.6788128508778959,0.6830513401941972,0.7099733269376127,0.7059127054225094,0.7792230431819073,SCN5A
wt_mut_site,128,linear_svm,10.0,none,6,0.6788128508778959,0.6830513401941972,0.7099733269376127,0.7059127054225094,0.7792230431819073,SCN5A
mutant_site,16,logistic_regression,0.01,none,6,0.6703391163085107,0.6830229955229955,0.7483044072329786,0.6929812927544324,0.81344716977888,SCN5A
wt_site,16,linear_svm,1.0,none,6,0.6680515660304792,0.6825687539973254,0.7623771730914588,0.6854647504647504,0.8141647280135899,SCN5A
wt_site,16,linear_svm,10.0,none,6,0.6680515660304792,0.6825687539973254,0.7623771730914588,0.6854647504647504,0.8141647280135899,SCN5A
mutant_site,32,logistic_regression,1.0,none,6,0.6660284261173341,0.6814349671492529,0.7208624047909762,0.6734404953607852,0.8131067918864548,SCN5A
mutant_site,32,logistic_regression,10.0,none,6,0.6660284261173341,0.6814349671492529,0.7151934705506133,0.6734404953607852,0.8102787299994342,SCN5A
mutant_site,64,logistic_regression,0.1,none,6,0.6618553661950013,0.681426972498401,0.7593533781033782,0.6806316835677361,0.7970181905564777,SCN5A
wt_site,16,linear_svm,0.01,none,6,0.6598548447190039,0.6813877260305832,0.7544860893075178,0.6906986531986532,0.8064324816746399,SCN5A
