target_gene,method,hidden_dim,proj_dim,k,n_seeds,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,std_roc_auc,mean_average_precision,std_average_precision,mean_gof_f1,std_gof_f1,mean_final_loss
SCN2A,frozen_esm_wt_mut,512,128,5,5,0.75,0.0,0.753968253968254,0.0,0.7658730158730158,0.0,0.7430787811222594,0.0,0.7647058823529411,0.0,
SCN2A,frozen_esm_wt_mut,512,256,5,5,0.75,0.0,0.753968253968254,0.0,0.7658730158730158,0.0,0.7430787811222594,0.0,0.7647058823529411,0.0,
SCN2A,frozen_esm_wt_mut,512,512,5,5,0.75,0.0,0.753968253968254,0.0,0.7658730158730158,0.0,0.7430787811222594,0.0,0.7647058823529411,0.0,
SCN2A,frozen_esm_wt_mut,1024,64,5,5,0.75,0.0,0.753968253968254,0.0,0.7658730158730158,0.0,0.7430787811222594,0.0,0.7647058823529411,0.0,
SCN2A,frozen_esm_wt_mut,1024,128,5,5,0.75,0.0,0.753968253968254,0.0,0.7658730158730158,0.0,0.7430787811222594,0.0,0.7647058823529411,0.0,
SCN2A,frozen_esm_wt_mut,1024,256,5,5,0.75,0.0,0.753968253968254,0.0,0.7658730158730158,0.0,0.7430787811222594,0.0,0.7647058823529411,0.0,
SCN2A,frozen_esm_wt_mut,1024,512,5,5,0.75,0.0,0.753968253968254,0.0,0.7658730158730158,0.0,0.7430787811222594,0.0,0.7647058823529411,0.0,
SCN2A,frozen_esm_wt_mut,256,64,3,5,0.71875,0.0,0.7261904761904762,0.0,0.7896825396825397,0.0,0.7899288781535159,0.0,0.7272727272727273,0.0,
SCN2A,frozen_esm_wt_mut,256,128,3,5,0.71875,0.0,0.7261904761904762,0.0,0.7896825396825397,0.0,0.7899288781535159,0.0,0.7272727272727273,0.0,
SCN2A,frozen_esm_wt_mut,256,256,3,5,0.71875,0.0,0.7261904761904762,0.0,0.7896825396825397,0.0,0.7899288781535159,0.0,0.7272727272727273,0.0,
