outer_target_gene,feature_set,pca_dim,model_name,C,gamma,n_inner_genes,threshold,inner_tuned_accuracy,inner_tuned_balanced_accuracy,inner_tuned_roc_auc,inner_tuned_gof_f1,inner_tuned_macro_f1,inner_default_accuracy,inner_default_balanced_accuracy,inner_default_roc_auc,inner_default_gof_f1
SCN10A,wt_mut_site,64,rbf_svm,1.0,0.1,6,0.03264262225920922,0.7301587301587301,0.6305418719211823,0.5591352920478536,0.42953020134228187,0.6264075123135526,0.46984126984126984,0.4705972906403941,0.5591352920478536,0.3882783882783883
SCN10A,wt_mut_site,128,rbf_svm,10.0,0.1,6,0.02999327129355024,0.7142857142857143,0.6002155172413793,0.5213098170302604,0.3382352941176471,0.5780245296499167,0.4603174603174603,0.46120689655172414,0.5213098170302604,0.3795620437956204
SCN10A,wt_mut_site,128,rbf_svm,1.0,0.1,6,0.03850115400615016,0.7111111111111111,0.5957512315270936,0.5132609078114003,0.32592592592592595,0.571043771043771,0.4603174603174603,0.46120689655172414,0.5132609078114003,0.3795620437956204
SCN1A,wt_mut_site,16,rbf_svm,1.0,scale,6,0.3109689863819203,0.762962962962963,0.7464242976807796,0.7871103766596387,0.6923076923076923,0.7497683039851715,0.725925925925926,0.7390734514787167,0.7871103766596387,0.704
SCN1A,wt_mut_site,16,logistic_regression,0.01,none,6,0.5893834216855213,0.762962962962963,0.7419795999772067,0.7665963872585332,0.6831683168316832,0.7469096022028239,0.6925925925925925,0.7022337455125649,0.7665963872585332,0.6639676113360324
SCN1A,wt_mut_site,16,rbf_svm,10.0,scale,6,0.18986567067187338,0.737037037037037,0.7365376944555245,0.7752008661462193,0.6926406926406926,0.7314336149287606,0.7,0.7143711892415523,0.7752008661462193,0.6798418972332015
SCN1A,wt_mut_site,128,rbf_svm,1.0,scale,6,0.7040272463021013,0.7518518518518519,0.7311812638896804,0.7619237563393926,0.6699507389162561,0.7355688412682171,0.5555555555555556,0.6021425722263377,0.7619237563393926,0.6052631578947368
SCN1A,wt_mut_site,8,logistic_regression,0.01,none,6,0.5468932977419025,0.737037037037037,0.7306114308507607,0.7597014074876062,0.6816143497757847,0.7288197931844222,0.6851851851851852,0.6960225653883412,0.7597014074876062,0.6586345381526104
SCN1A,wt_mut_site,128,logistic_regression,0.01,none,6,0.5762207565236528,0.7185185185185186,0.7298991395521113,0.7636902387600434,0.6935483870967742,0.7166372072470173,0.6851851851851852,0.704911960795487,0.7636902387600434,0.6743295019157088
SCN1A,wt_mut_site,128,rbf_svm,10.0,scale,6,0.5046158340487994,0.725925925925926,0.7227762265656162,0.7467661975041314,0.6754385964912281,0.7191295546558705,0.5962962962962963,0.6363040629095675,0.7467661975041314,0.6279863481228669
SCN1A,wt_mut_site,8,linear_svm,0.1,none,6,0.34497271807153507,0.7333333333333333,0.7171348794803123,0.7616958231238247,0.6571428571428571,0.7194805194805195,0.6703703703703704,0.6836002051398941,0.7616958231238247,0.6482213438735178
