region,term.id,term,pval,OR_adj,OR_adj_lo,OR_adj_hi
Domain II-III,FENICS:0065,Hyperpolarizing shift of voltage dependence of fast inactivation,0.6668,1.31,0.13,7.27
Domain II,FENICS:0128,Effect on ramp current,0.6737,1.27,0.12,7.03
Domain II-III,FENICS:0140,Overall gain-of-function effect with respect to biophysical channel activity,0.6879,1.19,0.12,6.59
Domain II,FENICS:0084,Decrease in peak current,0.6889,1.17,0.49,2.67
Domain IV,FENICS:0034,Decrease in slope of activation,0.6961,1.49,0.23,7.26
Domain II-III,FENICS:0052,Effect on rate of recovery from fast inactivation,0.7222,1.22,0.19,5.96
Domain IV,FENICS:0136,Overall assessment of ion channel function,0.7334,1.57,0.31,15.35
Domain I,FENICS:0035,Increase in slope of activation,0.7407,1.13,0.2,4.31
Domain C,FENICS:0127,Effect on ion channel function involving multiple biophysical properties,0.754,1.26,0.29,4.2
Domain III-IV,FENICS:0084,Decrease in peak current,0.7705,1.27,0.33,4.13
Domain III,FENICS:0101,Effect on slow inactivation,0.7729,1.1,0.26,3.6
Domain III,FENICS:0071,Effect on slope of fast inactivation,0.7787,1.22,0.33,3.67
Domain I,FENICS:0140,Overall gain-of-function effect with respect to biophysical channel activity,0.799,1.15,0.36,3.21
Domain C,FENICS:0084,Decrease in peak current,0.8179,1.17,0.42,2.98
